n,d,graph_family,graph_seed,num_edges,n_pairs,edge_fraction,SND,SND_G_u,ratio,ratio_reciprocal,abs_distortion,lower_bound,pi_G,upper_bound,lambda_2,spectral_gap,d_max,is_ramanujan,ramanujan_bound,time_full_ms,time_graph_ms,data_source
50,12,knn,12075,381,1225,0.3110204081632653,0.0046265386044979095,0.004620157647877932,1.0013811123139724,0.9986207925264529,6.380956619977951e-06,0.3110204081632653,76.96726274765489,23.93838947498491,12.91934971107515,0.4382891429967326,23,False,9.38083151964686,150.47112030442804,46.92063010297716,synthetic
50,12,knn,22075,381,1225,0.3110204081632653,0.0046265386044979095,0.004620157647877932,1.0013811123139724,0.9986207925264529,6.380956619977951e-06,0.3110204081632653,76.96726274765489,23.93838947498491,12.91934971107515,0.4382891429967326,23,False,9.38083151964686,150.40632089949213,46.83876450289972,synthetic
50,12,knn,32075,381,1225,0.3110204081632653,0.0046265386044979095,0.004620157647877932,1.0013811123139724,0.9986207925264529,6.380956619977951e-06,0.3110204081632653,76.96726274765489,23.93838947498491,12.91934971107515,0.4382891429967326,23,False,9.38083151964686,150.36828620359302,46.945477987173945,synthetic
50,12,knn,42075,381,1225,0.3110204081632653,0.0046265386044979095,0.004620157647877932,1.0013811123139724,0.9986207925264529,6.380956619977951e-06,0.3110204081632653,76.96726274765489,23.93838947498491,12.91934971107515,0.4382891429967326,23,False,9.38083151964686,149.06904879026115,46.39643878326751,synthetic
50,24,random_regular,2758,600,1225,0.4897959183673469,0.0046265386044979095,0.004628627561032772,0.9995486877033597,1.0004515160713956,2.0889565348625183e-06,0.4897959183673469,8.054489954489952,3.945056304239976,6.687171904977072,0.721367837292622,24,True,9.591663046625438,148.93971619894728,73.13037919811904,synthetic
50,24,random_regular,12758,600,1225,0.4897959183673469,0.0046265386044979095,0.004627236630767584,0.999849148352381,1.000150874407272,6.980262696743011e-07,0.4897959183673469,8.125169275169272,3.9796747470216842,6.534906132885536,0.7277122444631027,24,True,9.591663046625438,148.97167650051415,73.07428590138443,synthetic
50,24,random_regular,22758,600,1225,0.4897959183673469,0.0046265386044979095,0.004625823348760605,1.0001546223630646,0.9998454015413144,7.152557373046875e-07,0.4897959183673469,7.895479520479518,3.8671736426838454,6.22119824245152,0.74078340656452,24,True,9.591663046625438,149.12801739410497,72.82850550254807,synthetic
50,24,random_regular,32758,600,1225,0.4897959183673469,0.0046265386044979095,0.004627244547009468,0.9998474378208485,1.0001525854579214,7.059425115585327e-07,0.4897959183673469,7.673792873792871,3.7585924279801817,5.859988260648695,0.755833822472971,24,True,9.591663046625438,147.55738089443184,72.46452919207513,synthetic
50,24,random_regular,42758,600,1225,0.4897959183673469,0.0046265386044979095,0.004626763053238392,0.9999514890350122,1.0000485133184156,2.2444874048233032e-07,0.4897959183673469,8.05234765234765,3.944007013394768,6.485094923851561,0.729787711506185,24,True,9.591663046625438,148.5520025889855,72.87537600495853,synthetic
50,24,bernoulli,2573,619,1225,0.5053061224489795,0.0046265386044979095,0.004613851197063923,1.002749851889905,0.9972576890590188,1.2687407433986664e-05,0.5053061224489795,8.939649033457084,4.517259389150967,5.462556973215005,0.8292950945870311,32,True,11.135528725660043,148.86120401788503,74.92195280501619,synthetic
